University,Program,Study Level,Country,Official Website
Geneva Business School,Doctorate of Business Administration,PHD,Switzerland,https://programs.gbsge.com/geneva-business-school?utm_source=TopUniversities&utm_medium=Portals&utm_campaign=gbs
Thammasat University,"Bachelor of Arts Philosophy, Politics, and Economic",Bachelors,Thailand,https://tu.ac.th/en
University of Waikato,Bachelor of Climate Change (Geography),Bachelors,New Zealand,http://www.waikato.ac.nz
Chalmers University of Technology,"Infrastructure and Environmental Engineering, MSc",Masters,Sweden,http://www.chalmers.se/en
National Yang Ming Chiao Tung University,PhD in Neuroscience,PHD,Taiwan,https://en.nycu.edu.tw/
University of Witwatersrand,BA (Honours) - Transnational Literary and Cultural Studies,Masters,South Africa,http://www.wits.ac.za
University of Kent,"Text, Practice and Research - PhD",PHD,United Kingdom,https://www.kent.ac.uk/?utm_source=QS&utm_medium=paid_referrer&utm_content=main-profile&utm_campaign=PGINT2022
Queensland University of Technology (QUT),Master of Philosophy,Masters,Australia,https://www.qut.edu.au/
University of Canterbury | Te Whare Wānanga o Waitaha,Master of Water Resource Management,Masters,New Zealand,http://www.canterbury.ac.nz
United Arab Emirates University,Bachelor of Science in Biochemistry,Bachelors,United Arab Emirates,https://www.uaeu.ac.ae/en/
UCL,Education and International Development MA,Masters,United Kingdom,https://www.ucl.ac.uk/prospective-students/graduate/change-your-world?utm_source=qs&utm_medium=affiliate&utm_campaign=vpee_pgt_always_on&utm_content=profile
University of Waikato,Master of Design (120 points),Masters,New Zealand,http://www.waikato.ac.nz
University of Exeter,BA Film & Television Studies With Employment Experience Abroad,Bachelors,United Kingdom,https://www.exeter.ac.uk/?utm_source=qs_website&utm_medium=profile&utm_campaign=qs_advancedprofile
James Cook University,Master of Philosophy (Engineering and Related Technologies),Masters,Australia,http://www.jcu.edu.au
National Yang Ming Chiao Tung University,PhD in Finance,PHD,Taiwan,https://en.nycu.edu.tw/
RUDN University,International Business (in English),Masters,Russia,http://eng.rudn.ru/
University of Helsinki,Contemporary Societies,Masters,Finland,https://www.helsinki.fi/en
Concordia University,PhD in Art Education,PHD,Canada,https://www.concordia.ca/
Macquarie University,Bachelor of Social Science (Refugee Studies),Bachelors,Australia,http://www.mq.edu.au
University of Glasgow,Psychology (SocSci),Masters,United Kingdom,https://landing.online.gla.ac.uk/?utm_source=QS&utm_medium=Listing&utm_campaign=Profile_brand_QS
Universidad Militar Nueva Granada,Civil Engineering (Distance),Bachelors,Colombia,http://www.umng.edu.co/
RUDN University,Laboratory Genetics,Masters,Russia,http://eng.rudn.ru/
Universidad Militar Nueva Granada,Specialization in Oral and Maxillofacial Surgery Service,Masters,Colombia,http://www.umng.edu.co/
Maryland Institute College of Art,MA in Graphic Design,Masters,United States,http://www.mica.edu
National Research University Moscow Power Engineering Institute (MPEI),Management,Masters,Russia,http://www.mpei.ru
Zayed University,Bachelor of Science in Finance,Bachelors,United Arab Emirates,http://www.zu.ac.ae
Heriot-Watt University,PhD Economics,PHD,United Kingdom,http://www.hw.ac.uk
University of Anbar,Pharmacognosy and Medicinal Plants,Bachelors,Iraq,https://www.uoanbar.edu.iq/English/index.php
Imperial College Business School,Full-Time MBA,,['United Kingdom'],https://www.imperial.ac.uk/business-school/
University of Debrecen,Complex Rehabilitation,Masters,Hungary,https://edu.unideb.hu/
